,index,Unnamed: 0,Close,High,Low,Open,Volume,date,weekday,month,c-o,candle,cashopen,cash,action,diff,quantity
29,29,29,5719.700195,5739.450195,5679.899902,5702.450195,174500,01-03-2013,4,3,0.30250154600429613,3,65198.48339999999,65008.73339999999,short,-189.75,-11.0
30,30,30,5698.5,5712.0,5663.600098,5704.700195,144900,04-03-2013,0,3,-0.10868572910167364,2,65008.73339999999,65076.93554499999,short,68.20214500000384,-11.0
31,31,31,5784.25,5790.100098,5722.399902,5722.450195,154400,05-03-2013,1,3,1.0799535669877447,5,65076.93554499999,64397.137689999996,short,-679.7978549999962,-11.0
32,32,32,5818.600098,5828.700195,5795.049805,5816.399902,156900,06-03-2013,2,3,0.037827454044953635,3,64397.137689999996,64372.935534,short,-24.202155999997558,-11.0
33,33,33,5863.299805,5878.0,5801.299805,5801.299805,134700,07-03-2013,3,3,1.0687260111357062,5,64372.935534,63690.935534,short,-682.0,-11.0
34,34,34,5945.700195,5952.850098,5883.0,5883.649902,150800,08-03-2013,4,3,1.0546224543188367,5,63690.935534,63070.432603999994,short,-620.5029300000024,-10.0
35,35,35,5942.350098,5971.200195,5930.350098,5946.100098,125400,11-03-2013,0,3,-0.06306654678183657,2,63070.432603999994,63107.932603999994,short,37.5,-10.0
36,36,36,5914.100098,5952.0,5893.649902,5944.600098,115900,12-03-2013,1,3,-0.5130706775424879,1,63107.932603999994,63412.932603999994,short,305.0,-10.0
37,37,37,5851.200195,5893.850098,5842.25,5884.799805,116700,13-03-2013,2,3,-0.5709558712847208,1,63412.932603999994,63076.936504,long,-335.996099999993,10.0
38,38,38,5908.950195,5920.149902,5791.75,5845.950195,149000,14-03-2013,3,3,1.0776691196220496,5,63076.936504,63706.936504,long,630.0,10.0
39,39,39,5872.600098,5945.649902,5861.0,5914.899902,152200,15-03-2013,4,3,-0.7151398113380992,1,63706.936504,64129.934544,short,422.9980400000022,-10.0
40,40,40,5835.25,5850.200195,5814.350098,5816.75,102700,18-03-2013,0,3,0.31804701938367647,3,64129.934544,64333.434544,long,203.5,11.0
